organ,file,class,dx,dy,mode,dice,hd
Pancreas,6_Pancreas_18_57_0.npz,2,5,0,point,0.016740080997788828,393.7321424522006
Pancreas,6_Pancreas_18_57_0.npz,2,5,0,box,0.014953472110152787,390.6430595825299
Pancreas,6_Pancreas_18_57_0.npz,2,5,0,both,0.016822826716851123,394.4946133979525
Pancreas,6_Pancreas_18_57_0.npz,2,-5,0,point,0.016805764871264495,394.4946133979525
Pancreas,6_Pancreas_18_57_0.npz,2,-5,0,box,0.01662183549918618,394.4946133979525
Pancreas,6_Pancreas_18_57_0.npz,2,-5,0,both,0.0167618778945369,393.8489558193598
Pancreas,6_Pancreas_18_57_0.npz,2,0,5,point,0.016437230326687355,389.9358921669048
Pancreas,6_Pancreas_18_57_0.npz,2,0,5,box,0.01650911995739477,394.4946133979525
Pancreas,6_Pancreas_18_57_0.npz,2,0,5,both,0.016835646675894194,394.4946133979525
Pancreas,6_Pancreas_18_57_0.npz,2,0,-5,point,0.015609616382934035,392.9707368240032
Pancreas,6_Pancreas_18_57_0.npz,2,0,-5,box,0.016856858143944397,393.7321424522006
Pancreas,6_Pancreas_18_57_0.npz,2,0,-5,both,0.016532873802474257,391.6758864163072
Pancreas,6_Pancreas_18_57_0.npz,2,10,10,point,0.016625532990282955,392.9707368240032
Pancreas,6_Pancreas_18_57_0.npz,2,10,10,box,0.01631995822090518,392.9707368240032
Pancreas,6_Pancreas_18_57_0.npz,2,10,10,both,0.016781229212440445,394.4946133979525
Pancreas,6_Pancreas_18_57_0.npz,2,-10,-10,point,0.016797607734063576,393.2047812527208
Pancreas,6_Pancreas_18_57_0.npz,2,-10,-10,box,0.016974774970604543,394.4946133979525
Pancreas,6_Pancreas_18_57_0.npz,2,-10,-10,both,0.016706928027438166,394.4946133979525
Pancreas,6_Pancreas_18_58_0.npz,2,0,0,point,0.015833421788202257,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,0,0,box,0.015519327970383294,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,0,0,both,0.015489926011031519,393.0852324878156
Pancreas,6_Pancreas_18_58_0.npz,2,5,0,point,0.015666910509630205,393.0852324878156
Pancreas,6_Pancreas_18_58_0.npz,2,5,0,box,0.015842031123947557,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,5,0,both,0.01588760076375073,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,-5,0,point,0.015541218637991346,389.39054944875073
Pancreas,6_Pancreas_18_58_0.npz,2,-5,0,box,0.015970715575986772,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,-5,0,both,0.015948166057033874,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,0,5,point,0.01579540754757512,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,0,5,box,0.015843433593003085,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,0,5,both,0.015702998988489803,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,0,-5,point,0.014784151389704766,390.9130338067535
Pancreas,6_Pancreas_18_58_0.npz,2,0,-5,box,0.015543594024349395,392.43980430124566
Pancreas,6_Pancreas_18_58_0.npz,2,0,-5,both,0.015783519283301684,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,10,10,point,0.0158818255560751,391.7958652155482
Pancreas,6_Pancreas_18_58_0.npz,2,10,10,box,0.015279064724088158,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,10,10,both,0.015377943089848103,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,-10,-10,point,0.016243083302438777,393.7321424522006
Pancreas,6_Pancreas_18_58_0.npz,2,-10,-10,box,0.016485384092450612,390.1512527213004
Pancreas,6_Pancreas_18_58_0.npz,2,-10,-10,both,0.015835516235850756,392.21040271772495
Pancreas,6_Pancreas_20_43_0.npz,2,0,0,point,0.0313863267277323,387.1911672546263
Pancreas,6_Pancreas_20_43_0.npz,2,0,0,box,0.03165992746109154,386.4531019412317
Pancreas,6_Pancreas_20_43_0.npz,2,0,0,both,0.03161231415921444,385.84582413186746
Pancreas,6_Pancreas_20_43_0.npz,2,5,0,point,0.031244916770588348,385.1752847730498
Pancreas,6_Pancreas_20_43_0.npz,2,5,0,box,0.031178456197886173,387.1911672546263
Pancreas,6_Pancreas_20_43_0.npz,2,5,0,both,0.03159565376632735,385.84582413186746
Pancreas,6_Pancreas_20_43_0.npz,2,-5,0,point,0.031206030895005017,387.1911672546263
Pancreas,6_Pancreas_20_43_0.npz,2,-5,0,box,0.031719085512187356,387.1911672546263
Pancreas,6_Pancreas_20_43_0.npz,2,-5,0,both,0.031586256434812325,387.1911672546263
Pancreas,6_Pancreas_20_43_0.npz,2,0,5,point,0.03153866291028113,387.1911672546263
Pancreas,6_Pancreas_20_43_0.npz,2,0,5,box,0.031776466589388444,387.1911672546263
Pancreas,6_Pancreas_20_43_0.npz,2,0,5,both,0.031491160684248315,385.7162169263823
Pancreas,6_Pancreas_20_43_0.npz,2,0,-5,point,0.03052795858550867,385.7162169263823
